symbol,markPrice,indexPrice,estimatedSettlePrice,lastFundingRate,interestRate,nextFundingTime,time,ts,datetime
BTCUSDT,95525.34073188,95574.67760870,95490.06972243,0.00007161,0.00010000,1746115200000,1746093480001,1746093480230,2025-05-01 13:58:00
BTCUSDT,95498.10128936,95545.22239130,95498.49549867,0.00007118,0.00010000,1746115200000,1746093540000,1746093540837,2025-05-01 13:59:00
BTCUSDT,95478.20000000,95523.93847826,95506.03589710,0.00007102,0.00010000,1746115200000,1746093601001,1746093601276,2025-05-01 14:00:01
BTCUSDT,95580.80000000,95612.85543478,95515.94472693,0.00007158,0.00010000,1746115200000,1746093661000,1746093661929,2025-05-01 14:01:01
BTCUSDT,95606.15647826,95641.19217391,95525.92343152,0.00007158,0.00010000,1746115200000,1746093722000,1746093722357,2025-05-01 14:02:02
BTCUSDT,95670.00000000,95698.59369565,95536.30164396,0.00007186,0.00010000,1746115200000,1746093783001,1746093783291,2025-05-01 14:03:03
BTCUSDT,95644.72801449,95679.79891304,95546.03239408,0.00007247,0.00010000,1746115200000,1746093844000,1746093844207,2025-05-01 14:04:04
BTCUSDT,95629.90000000,95662.78065217,95554.25981826,0.00007225,0.00010000,1746115200000,1746093905001,1746093905355,2025-05-01 14:05:05
BTCUSDT,95668.90000000,95706.92478261,95562.16996147,0.00007257,0.00010000,1746115200000,1746093965001,1746093965666,2025-05-01 14:06:05
BTCUSDT,95703.60000000,95728.48086957,95570.54256558,0.00007257,0.00010000,1746115200000,1746094025000,1746094025985,2025-05-01 14:07:05
BTCUSDT,95692.00000000,95721.15217391,95579.87804505,0.00007322,0.00010000,1746115200000,1746094086001,1746094086337,2025-05-01 14:08:06
BTCUSDT,95663.41513043,95700.68978261,95587.77799831,0.00007339,0.00010000,1746115200000,1746094146000,1746094146854,2025-05-01 14:09:06
BTCUSDT,95604.40000000,95642.16782609,95594.56188438,0.00007301,0.00010000,1746115200000,1746094207001,1746094207430,2025-05-01 14:10:07
BTCUSDT,95603.50000000,95638.59978261,95601.93563877,0.00007301,0.00010000,1746115200000,1746094267000,1746094267851,2025-05-01 14:11:07
BTCUSDT,95578.00343478,95617.72021739,95609.25348913,0.00007322,0.00010000,1746115200000,1746094328000,1746094328287,2025-05-01 14:12:08
BTCUSDT,95599.90000000,95633.47847826,95616.24829060,0.00007319,0.00010000,1746115200000,1746094388001,1746094388735,2025-05-01 14:13:08
BTCUSDT,95642.29557246,95680.44500000,95624.05037101,0.00007339,0.00010000,1746115200000,1746094449000,1746094449171,2025-05-01 14:14:09
BTCUSDT,95696.45410145,95728.95000000,95633.48630386,0.00007411,0.00010000,1746115200000,1746094509001,1746094509635,2025-05-01 14:15:09
BTCUSDT,95765.30000000,95792.48652174,95643.81377452,0.00007411,0.00010000,1746115200000,1746094570000,1746094570074,2025-05-01 14:16:10
BTCUSDT,96938.54013043,96985.07000000,96957.21952643,-0.00008696,0.00010000,1746201600000,1746186723001,1746186723801,2025-05-02 15:52:03
BTCUSDT,96969.35336957,97016.17260870,96956.18231739,-0.00008639,0.00010000,1746201600000,1746186784000,1746186784228,2025-05-02 15:53:04
