symbol,openInterest,time,ts,datetime
BTCUSDT,83986.629,1746093476461,1746093480215,2025-05-01 13:58:00
BTCUSDT,83987.624,1746093536018,1746093540830,2025-05-01 13:59:00
BTCUSDT,83967.159,1746093598287,1746093601271,2025-05-01 14:00:01
BTCUSDT,84103.471,1746093660325,1746093661908,2025-05-01 14:01:01
BTCUSDT,84145.795,1746093718897,1746093722352,2025-05-01 14:02:02
BTCUSDT,84178.827,1746093781265,1746093782666,2025-05-01 14:03:02
BTCUSDT,84211.401,1746093839760,1746093843603,2025-05-01 14:04:03
BTCUSDT,84220.479,1746093900111,1746093904470,2025-05-01 14:05:04
BTCUSDT,84240.019,1746093962407,1746093964898,2025-05-01 14:06:04
BTCUSDT,84282.182,1746094020452,1746094025510,2025-05-01 14:07:05
BTCUSDT,84312.325,1746094082160,1746094085825,2025-05-01 14:08:05
BTCUSDT,84321.816,1746094139751,1746094146479,2025-05-01 14:09:06
BTCUSDT,84332.567,1746094204218,1746094207190,2025-05-01 14:10:07
BTCUSDT,84343.996,1746094265462,1746094267806,2025-05-01 14:11:07
BTCUSDT,84350.410,1746094323002,1746094328244,2025-05-01 14:12:08
BTCUSDT,84371.836,1746094385577,1746094388563,2025-05-01 14:13:08
BTCUSDT,84377.376,1746094442145,1746094449003,2025-05-01 14:14:09
BTCUSDT,84386.381,1746094503928,1746094509641,2025-05-01 14:15:09
BTCUSDT,84408.819,1746094567129,1746094570064,2025-05-01 14:16:10
BTCUSDT,87632.657,1746186718373,1746186725572,2025-05-02 15:52:05
BTCUSDT,87652.477,1746186782753,1746186785883,2025-05-02 15:53:05
