symbol,sumOpenInterest,sumOpenInterestValue,timestamp
BTCUSDT,80047.93300000,8255872625.20496400,2025-05-10 18:00:00+00:00
BTCUSDT,80082.19400000,8265539505.76080000,2025-05-10 18:05:00+00:00
BTCUSDT,80050.10600000,8263284261.99840000,2025-05-10 18:10:00+00:00
BTCUSDT,80067.68300000,8267312827.00389300,2025-05-10 18:15:00+00:00
BTCUSDT,80081.77300000,8264693432.10595100,2025-05-10 18:20:00+00:00
BTCUSDT,80080.92000000,8259137676.10800000,2025-05-10 18:25:00+00:00
BTCUSDT,80097.75100000,8265474058.12333200,2025-05-10 18:30:00+00:00
BTCUSDT,79965.24400000,8248423288.29580500,2025-05-10 18:35:00+00:00
BTCUSDT,79945.44500000,8240199767.62215900,2025-05-10 18:40:00+00:00
BTCUSDT,79949.75100000,8243142905.88820650,2025-05-10 18:45:00+00:00
BTCUSDT,79854.37200000,8237027185.57097150,2025-05-10 18:50:00+00:00
BTCUSDT,79725.32400000,8231823071.24520000,2025-05-10 18:55:00+00:00
BTCUSDT,79724.46200000,8227947565.70497600,2025-05-10 19:00:00+00:00
BTCUSDT,79714.80500000,8221048759.09022100,2025-05-10 19:05:00+00:00
BTCUSDT,79695.89100000,8213872945.09320000,2025-05-10 19:10:00+00:00
BTCUSDT,79695.22200000,8212568718.53340000,2025-05-10 19:15:00+00:00
BTCUSDT,79701.15800000,8222369104.81714500,2025-05-10 19:20:00+00:00
BTCUSDT,79696.21100000,8221698759.49305300,2025-05-10 19:25:00+00:00
BTCUSDT,79685.70800000,8221859845.14979600,2025-05-10 19:30:00+00:00
BTCUSDT,79705.21200000,8229511066.37188700,2025-05-10 19:35:00+00:00
BTCUSDT,79696.60300000,8226689814.33530000,2025-05-10 19:40:00+00:00
BTCUSDT,79696.42400000,8225747399.94006250,2025-05-10 19:45:00+00:00
BTCUSDT,79692.26900000,8224648591.37190000,2025-05-10 19:50:00+00:00
BTCUSDT,79714.19400000,8222895926.73762200,2025-05-10 19:55:00+00:00
BTCUSDT,79708.53100000,8221823380.70660000,2025-05-10 20:00:00+00:00
BTCUSDT,79709.89300000,8217787070.70660000,2025-05-10 20:05:00+00:00
BTCUSDT,79713.29300000,8219939029.83027200,2025-05-10 20:10:00+00:00
